beta0,beta1,beta2,beta3
-4.40603479044,32.0415951132,-57.248953985,0.156389032859
-3.85672261479,31.8473101692,-69.6329250515,0.156278821571
-3.28189904999,26.8932410184,-57.8883551157,0.121502115391
-2.91099150673,24.7744684178,-55.4746517674,0.0502109793364
-3.74642581349,33.2690292315,-71.6231698365,0.0116116043973
-1.47978207425,5.96133335029,-0.536853289517,0.0618482743061
-3.52860637729,29.0951039338,-60.8492511143,0.0659762526954
-3.38036899433,30.7667282478,-69.8353081401,0.11567071561
-3.26071433783,24.6996269095,-47.8525486243,0.0293439564885
-3.6773912705,26.0491463669,-47.6494837527,0.207962242925
-1.51249366784,3.40295932052,5.44687618027,0.0726521807304
-2.52598892343,17.8159178498,-31.2421378493,0.107171038042
-3.85231594311,29.8053054016,-60.9217047644,0.141466051421
-4.01129645654,29.1653303031,-58.5570187266,0.174316649514
-1.9593131792,14.2344111229,-22.7277670249,-0.000492916169819
-2.59781495188,15.7867328145,-21.1396362101,0.101242065954
-2.86291582452,23.817121445,-45.9919802133,-0.0595394326755
-1.53374333182,9.2199160326,-14.5139756762,0.0555967985396
-4.09593832904,32.8300014325,-64.1069107036,0.117887985541
-3.55314828181,26.6056330549,-49.8773808026,0.0944303801802
-3.49397373654,26.5233310314,-47.6234972438,0.0251179748705
-2.14661437663,10.397818033,-10.0352270362,0.141705688093
-2.58015287787,14.7750853556,-22.6577854776,0.1582304636
-3.57185673241,29.205984208,-58.596639953,0.0594749103869
-2.57916173833,15.7859250854,-19.9251911693,0.151664070454
-2.40514143343,18.9353022995,-38.1783372865,0.098162979803
-3.00231381896,23.6213186589,-48.2666745292,0.153427308929
-0.841545174928,-3.24407916166,19.1551318166,0.188473750671
-3.48161277377,28.1678697992,-61.3709250348,0.104274199216
-1.19121199917,2.95772900388,5.32304734293,0.032021288267
-2.8759020556,21.7928777794,-41.5391074565,0.117455219767
-3.36248154463,24.9864041421,-43.5565664678,0.126380697133
-2.71521334775,20.9256045817,-47.0381370006,0.126969696273
-2.59565332492,16.428457006,-27.8745079403,0.174888873596
-1.6726497032,10.7809441587,-17.254386548,0.0203902624442
