parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Z
pnew[0],0.6381,0.005,0.1946,0.2183,0.5049,0.6612,0.7922,0.9408,1540,1.0003,0.0781
pnew[1],0.6217,0.0046,0.186,0.2289,0.4924,0.6383,0.7666,0.9248,1633,1.0002,0.082153877551
pnew[2],0.6048,0.0041,0.1771,0.2392,0.4814,0.6171,0.7393,0.9061,1867,1.0002,0.086207755102
pnew[3],0.5878,0.0037,0.1681,0.246,0.4699,0.5956,0.713,0.8835,2016,1.0001,0.0902616326531
pnew[4],0.5708,0.0034,0.1591,0.2533,0.4592,0.5758,0.6868,0.8587,2215,1.0001,0.0943155102041
pnew[5],0.5539,0.003,0.1503,0.2571,0.4479,0.5562,0.6615,0.8321,2482,1.0,0.0983693877551
pnew[6],0.5374,0.0027,0.1418,0.2604,0.4375,0.538,0.6377,0.8051,2841,1.0,0.102423265306
pnew[7],0.5214,0.0023,0.1339,0.2611,0.4267,0.5217,0.6151,0.7793,3378,1.0,0.106477142857
pnew[8],0.506,0.002,0.1267,0.2627,0.4162,0.5051,0.5939,0.7556,3964,1.0,0.110531020408
pnew[9],0.4914,0.0018,0.1204,0.2629,0.4068,0.4892,0.574,0.7293,4622,1.0,0.114584897959
pnew[10],0.4778,0.0016,0.1151,0.2614,0.3976,0.4769,0.5567,0.7059,5275,1.0001,0.11863877551
pnew[11],0.4651,0.0015,0.1107,0.2567,0.3876,0.4637,0.5411,0.6836,5764,1.0001,0.122692653061
pnew[12],0.4535,0.0014,0.1073,0.249,0.3786,0.4514,0.5265,0.6661,5909,1.0002,0.126746530612
pnew[13],0.443,0.0014,0.1048,0.2446,0.3706,0.4408,0.5143,0.6514,5672,1.0003,0.130800408163
pnew[14],0.4335,0.0014,0.1031,0.2382,0.362,0.4309,0.503,0.6398,5188,1.0004,0.134854285714
pnew[15],0.4253,0.0015,0.102,0.2327,0.3537,0.4231,0.495,0.6276,4634,1.0004,0.138908163265
pnew[16],0.4181,0.0016,0.1015,0.2265,0.3468,0.416,0.4875,0.6205,4112,1.0005,0.142962040816
pnew[17],0.412,0.0017,0.1013,0.221,0.3415,0.4095,0.4817,0.614,3667,1.0005,0.147015918367
pnew[18],0.407,0.0018,0.1013,0.2166,0.3358,0.4039,0.4771,0.6098,3293,1.0005,0.151069795918
pnew[19],0.4031,0.0019,0.1015,0.2133,0.3318,0.3998,0.4733,0.6065,2753,1.0005,0.155123673469
pnew[20],0.4003,0.002,0.1018,0.211,0.3288,0.3969,0.4701,0.6042,2554,1.0005,0.15917755102
pnew[21],0.3984,0.0021,0.102,0.2088,0.3265,0.3953,0.4688,0.6039,2421,1.0005,0.163231428571
pnew[22],0.3977,0.0021,0.1023,0.2078,0.3254,0.3941,0.4687,0.6044,2343,1.0005,0.167285306122
pnew[23],0.3979,0.0021,0.1025,0.2069,0.325,0.3943,0.4678,0.6058,2311,1.0004,0.171339183673
pnew[24],0.3992,0.0021,0.1027,0.2069,0.3267,0.3965,0.4687,0.6075,2325,1.0004,0.175393061224
pnew[25],0.4015,0.0021,0.1029,0.2079,0.3282,0.399,0.4708,0.6098,2385,1.0003,0.179446938776
pnew[26],0.4049,0.0021,0.1033,0.2107,0.3324,0.4026,0.4742,0.6138,2501,1.0003,0.183500816327
pnew[27],0.4093,0.002,0.1039,0.2147,0.3361,0.4077,0.4792,0.6171,2703,1.0002,0.187554693878
