parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Z,WHAN_CLASS
pnew[0],0.17,0.001,0.0497,0.0883,0.1342,0.1649,0.2009,0.2802,2624,1.0002,0.06794,0
pnew[1],0.1824,0.0009,0.0483,0.1012,0.1477,0.1782,0.2131,0.288,2699,1.0002,0.0736616326531,0
pnew[2],0.1953,0.0009,0.0468,0.1148,0.1619,0.1919,0.2252,0.2964,2795,1.0002,0.0793832653061,0
pnew[3],0.2085,0.0008,0.0452,0.1292,0.176,0.2058,0.2374,0.305,2915,1.0002,0.0851048979592,0
pnew[4],0.2221,0.0008,0.0436,0.1441,0.1911,0.2201,0.2502,0.3142,3064,1.0002,0.0908265306122,0
pnew[5],0.236,0.0007,0.0419,0.1598,0.2062,0.2344,0.2634,0.3228,3253,1.0002,0.0965481632653,0
pnew[6],0.25,0.0007,0.0404,0.1758,0.2212,0.2491,0.2763,0.3315,3489,1.0002,0.102269795918,0
pnew[7],0.2641,0.0006,0.0389,0.1918,0.2365,0.2634,0.2898,0.3423,3777,1.0002,0.107991428571,0
pnew[8],0.2783,0.0006,0.0377,0.207,0.2517,0.2774,0.3031,0.3549,4116,1.0001,0.113713061224,0
pnew[9],0.2924,0.0005,0.0368,0.2223,0.2669,0.2919,0.3166,0.3661,4488,1.0001,0.119434693878,0
pnew[10],0.3064,0.0005,0.0361,0.2376,0.2817,0.3058,0.3305,0.3789,4826,1.0,0.125156326531,0
pnew[11],0.3202,0.0005,0.0358,0.252,0.2955,0.3194,0.3441,0.3914,5723,1.0,0.130877959184,0
pnew[12],0.3337,0.0005,0.0358,0.2657,0.3091,0.3328,0.3576,0.4052,5823,0.9999,0.136599591837,0
pnew[13],0.3469,0.0005,0.036,0.2787,0.322,0.3459,0.3711,0.4187,5783,0.9999,0.14232122449,0
pnew[14],0.3596,0.0005,0.0365,0.2906,0.3343,0.3589,0.3842,0.432,5636,0.9999,0.148042857143,0
pnew[15],0.372,0.0005,0.0372,0.3016,0.3461,0.3711,0.3971,0.4459,5431,0.9999,0.153764489796,0
pnew[16],0.3838,0.0005,0.0379,0.3112,0.3573,0.3827,0.4096,0.4593,5045,0.9999,0.159486122449,0
pnew[17],0.3951,0.0006,0.0387,0.3213,0.3681,0.3941,0.4217,0.4729,4831,0.9999,0.165207755102,0
pnew[18],0.4058,0.0006,0.0395,0.3301,0.3783,0.4044,0.4332,0.485,4642,0.9999,0.170929387755,0
pnew[19],0.4159,0.0006,0.0403,0.3386,0.3878,0.4143,0.4437,0.4959,4489,0.9999,0.176651020408,0
pnew[20],0.4254,0.0006,0.041,0.3468,0.397,0.424,0.4533,0.5071,4402,0.9999,0.182372653061,0
pnew[21],0.4342,0.0006,0.0416,0.3546,0.4054,0.4331,0.4624,0.5167,4324,0.9999,0.188094285714,0
pnew[22],0.4424,0.0006,0.0421,0.362,0.4132,0.4416,0.4709,0.5255,4285,0.9999,0.193815918367,0
pnew[23],0.4499,0.0006,0.0425,0.3684,0.4205,0.4492,0.4786,0.5338,4282,0.9999,0.19953755102,0
pnew[24],0.4568,0.0007,0.0429,0.3747,0.4274,0.4561,0.4857,0.5412,4318,0.9999,0.205259183673,0
pnew[25],0.4629,0.0007,0.0431,0.3803,0.4334,0.4623,0.4919,0.5485,4392,0.9999,0.210980816327,0
pnew[26],0.4684,0.0006,0.0434,0.3855,0.439,0.4679,0.4978,0.5542,4508,0.9999,0.21670244898,0
pnew[27],0.4731,0.0006,0.0436,0.3897,0.4432,0.4725,0.5028,0.5594,4666,0.9999,0.222424081633,0
pnew[28],0.4772,0.0006,0.0439,0.3925,0.447,0.4767,0.5073,0.5642,4867,0.9999,0.228145714286,0
pnew[29],0.4806,0.0006,0.0443,0.3951,0.4497,0.4802,0.5106,0.5679,5109,0.9999,0.233867346939,0
pnew[30],0.4832,0.0006,0.0448,0.3963,0.4526,0.4827,0.5138,0.5714,5381,0.9999,0.239588979592,0
pnew[31],0.4852,0.0006,0.0456,0.397,0.4543,0.4847,0.5162,0.5745,5659,0.9999,0.245310612245,0
pnew[32],0.4864,0.0006,0.0466,0.3959,0.4548,0.4858,0.5185,0.5776,5899,0.9999,0.251032244898,0
pnew[33],0.487,0.0006,0.048,0.3936,0.4543,0.4863,0.5197,0.5817,6078,0.9999,0.256753877551,0
pnew[34],0.4868,0.0006,0.0498,0.3898,0.453,0.486,0.5207,0.5842,6160,0.9999,0.262475510204,0
pnew[35],0.4859,0.0007,0.0521,0.3836,0.4509,0.485,0.5213,0.5872,6127,0.9999,0.268197142857,0
pnew[36],0.4844,0.0007,0.0548,0.3766,0.4472,0.4835,0.5217,0.5914,5985,1.0,0.27391877551,0
pnew[37],0.4821,0.0008,0.058,0.3677,0.4429,0.4816,0.5218,0.5949,5759,1.0,0.279640408163,0
pnew[38],0.4792,0.0008,0.0617,0.3576,0.4375,0.4786,0.5214,0.5996,5474,1.0,0.285362040816,0
pnew[39],0.4756,0.0009,0.0659,0.3455,0.4309,0.4747,0.5207,0.6032,5167,1.0,0.291083673469,0
pnew[40],0.4713,0.001,0.0705,0.3335,0.4231,0.47,0.5198,0.6086,4872,1.0,0.296805306122,0
pnew[41],0.4664,0.0011,0.0756,0.3205,0.4142,0.4651,0.5179,0.6133,4463,1.0,0.302526938776,0
pnew[42],0.4608,0.0012,0.0811,0.3043,0.4046,0.4593,0.5164,0.6191,4236,1.0001,0.308248571429,0
pnew[43],0.4546,0.0014,0.0869,0.2875,0.3944,0.4522,0.5145,0.625,4038,1.0001,0.313970204082,0
pnew[44],0.4479,0.0015,0.0929,0.27,0.3831,0.4445,0.513,0.6301,3867,1.0001,0.319691836735,0
pnew[45],0.4406,0.0016,0.0993,0.2523,0.3708,0.437,0.5107,0.6371,3720,1.0001,0.325413469388,0
pnew[46],0.4328,0.0018,0.1058,0.2333,0.3579,0.429,0.5076,0.6434,3593,1.0001,0.331135102041,0
pnew[47],0.4245,0.0019,0.1125,0.216,0.3441,0.4197,0.5038,0.6493,3485,1.0001,0.336856734694,0
pnew[48],0.4157,0.002,0.1193,0.1981,0.3295,0.4095,0.4999,0.6549,3391,1.0001,0.342578367347,0
pnew[49],0.4066,0.0022,0.126,0.1795,0.3151,0.399,0.4957,0.6598,3311,1.0001,0.3483,0
pnew[50],0.1708,0.001,0.0496,0.0891,0.1349,0.1658,0.2018,0.281,2623,1.0002,0.06794,0
pnew[51],0.1833,0.0009,0.0483,0.1021,0.1486,0.1791,0.214,0.2886,2698,1.0002,0.0736616326531,0
pnew[52],0.1962,0.0009,0.0467,0.1156,0.1629,0.1929,0.2262,0.2973,2794,1.0002,0.0793832653061,0
pnew[53],0.2096,0.0008,0.0451,0.1306,0.1771,0.2067,0.2385,0.3054,2914,1.0002,0.0851048979592,0
pnew[54],0.2232,0.0008,0.0434,0.1458,0.1921,0.2211,0.2512,0.3148,3065,1.0002,0.0908265306122,0
pnew[55],0.2371,0.0007,0.0417,0.1614,0.2075,0.2356,0.2644,0.3233,3256,1.0002,0.0965481632653,0
pnew[56],0.2512,0.0007,0.04,0.1775,0.2226,0.2502,0.2773,0.3321,3496,1.0002,0.102269795918,0
pnew[57],0.2654,0.0006,0.0385,0.1936,0.238,0.2647,0.2906,0.3427,3792,1.0002,0.107991428571,0
pnew[58],0.2796,0.0006,0.0373,0.2093,0.2531,0.2788,0.304,0.3552,4144,1.0001,0.113713061224,0
pnew[59],0.2937,0.0005,0.0362,0.2243,0.2685,0.2933,0.3176,0.3666,4535,1.0001,0.119434693878,0
pnew[60],0.3077,0.0005,0.0355,0.2398,0.2833,0.3072,0.3314,0.3792,4901,1.0,0.125156326531,0
pnew[61],0.3216,0.0005,0.0352,0.2544,0.2973,0.3207,0.3451,0.392,5818,1.0,0.130877959184,0
pnew[62],0.3351,0.0005,0.0351,0.2684,0.3109,0.3342,0.3586,0.4055,5929,0.9999,0.136599591837,0
pnew[63],0.3483,0.0005,0.0353,0.2815,0.324,0.3473,0.3721,0.4186,5887,0.9999,0.14232122449,0
pnew[64],0.3611,0.0005,0.0358,0.2933,0.3363,0.3602,0.385,0.4321,5727,0.9999,0.148042857143,0
pnew[65],0.3734,0.0005,0.0364,0.3043,0.3481,0.3726,0.3979,0.4457,5504,0.9999,0.153764489796,0
pnew[66],0.3853,0.0005,0.0372,0.314,0.3594,0.3843,0.4106,0.4591,5100,0.9999,0.159486122449,0
pnew[67],0.3966,0.0005,0.038,0.3241,0.3703,0.3955,0.4227,0.4728,4868,0.9999,0.165207755102,0
pnew[68],0.4073,0.0006,0.0388,0.3329,0.3805,0.406,0.4342,0.4846,4667,0.9999,0.170929387755,0
pnew[69],0.4175,0.0006,0.0395,0.3416,0.3899,0.4159,0.4446,0.4961,4528,0.9999,0.176651020408,0
pnew[70],0.427,0.0006,0.0402,0.3496,0.399,0.4256,0.4545,0.5069,4407,0.9999,0.182372653061,0
pnew[71],0.4358,0.0006,0.0408,0.3579,0.4073,0.4346,0.4635,0.5167,4327,0.9999,0.188094285714,0
pnew[72],0.444,0.0006,0.0413,0.3651,0.4154,0.4432,0.4721,0.5259,4286,0.9999,0.193815918367,0
pnew[73],0.4515,0.0006,0.0418,0.3718,0.4226,0.4508,0.4798,0.5335,4284,0.9999,0.19953755102,0
pnew[74],0.4584,0.0006,0.0421,0.3773,0.4295,0.4578,0.4868,0.5414,4322,0.9999,0.205259183673,0
pnew[75],0.4645,0.0006,0.0424,0.3831,0.4356,0.4639,0.4932,0.5486,4400,0.9999,0.210980816327,0
pnew[76],0.47,0.0006,0.0426,0.3886,0.441,0.4694,0.4989,0.5544,4520,0.9999,0.21670244898,0
pnew[77],0.4748,0.0006,0.0428,0.3929,0.4453,0.4742,0.5038,0.5602,4686,0.9999,0.222424081633,0
pnew[78],0.4788,0.0006,0.0431,0.3956,0.449,0.4784,0.5082,0.5646,4898,0.9999,0.228145714286,0
pnew[79],0.4822,0.0006,0.0435,0.398,0.452,0.4818,0.5118,0.5682,5154,0.9999,0.233867346939,0
pnew[80],0.4848,0.0006,0.044,0.3995,0.4548,0.4844,0.5149,0.5715,5443,0.9999,0.239588979592,0
pnew[81],0.4868,0.0006,0.0448,0.4002,0.4565,0.4865,0.5172,0.5744,5738,0.9999,0.245310612245,0
pnew[82],0.488,0.0006,0.0459,0.3986,0.4567,0.4874,0.5195,0.5776,5992,0.9999,0.251032244898,0
pnew[83],0.4886,0.0006,0.0473,0.3967,0.4565,0.4878,0.5208,0.5818,6179,0.9999,0.256753877551,0
pnew[84],0.4884,0.0006,0.0491,0.3928,0.455,0.4876,0.5217,0.5843,6262,0.9999,0.262475510204,0
pnew[85],0.4875,0.0007,0.0514,0.3867,0.453,0.4867,0.5226,0.5878,6221,0.9999,0.268197142857,0
pnew[86],0.486,0.0007,0.0542,0.3793,0.4494,0.4852,0.5229,0.5914,6064,1.0,0.27391877551,0
pnew[87],0.4837,0.0008,0.0574,0.3699,0.4449,0.4831,0.5229,0.5955,5821,1.0,0.279640408163,0
pnew[88],0.4808,0.0008,0.0612,0.3604,0.4392,0.4802,0.5227,0.5998,5521,1.0,0.285362040816,0
pnew[89],0.4772,0.0009,0.0654,0.3487,0.433,0.4763,0.5219,0.6041,5200,1.0,0.291083673469,0
pnew[90],0.4729,0.001,0.0701,0.3357,0.4253,0.4716,0.5208,0.609,4894,1.0,0.296805306122,0
pnew[91],0.4679,0.0011,0.0752,0.3225,0.4161,0.4668,0.5197,0.6139,4478,1.0,0.302526938776,0
pnew[92],0.4624,0.0012,0.0807,0.3062,0.4065,0.4607,0.5179,0.6197,4246,1.0001,0.308248571429,0
pnew[93],0.4562,0.0014,0.0865,0.2892,0.3961,0.4538,0.516,0.6252,4045,1.0001,0.313970204082,0
pnew[94],0.4494,0.0015,0.0927,0.2718,0.3848,0.4458,0.5147,0.6305,3872,1.0001,0.319691836735,0
pnew[95],0.4421,0.0016,0.0991,0.2536,0.3727,0.439,0.5119,0.6376,3723,1.0001,0.325413469388,0
pnew[96],0.4343,0.0018,0.1056,0.2352,0.3597,0.4307,0.509,0.6439,3596,1.0001,0.331135102041,0
pnew[97],0.426,0.0019,0.1124,0.2177,0.3458,0.4213,0.5053,0.6499,3487,1.0001,0.336856734694,0
pnew[98],0.4172,0.002,0.1191,0.1993,0.3311,0.4111,0.5018,0.6554,3393,1.0001,0.342578367347,0
pnew[99],0.4081,0.0022,0.126,0.1811,0.3167,0.4008,0.4975,0.6615,3312,1.0001,0.3483,0
pnew[100],0.1717,0.001,0.0497,0.0897,0.1357,0.1668,0.2024,0.282,2622,1.0002,0.06794,0
pnew[101],0.1842,0.0009,0.0482,0.1028,0.1497,0.18,0.2148,0.2895,2697,1.0002,0.0736616326531,0
