beta0,beta1,beta2,beta3
-2.31331728477,14.8087240986,-21.0885555712,0.0949513734602
-3.00768143351,21.3312180245,-42.5595738785,0.129616788733
-4.03579420678,31.9712819728,-63.4984067843,0.0857404572319
-2.51001427805,16.4886856372,-24.5424377735,0.131294362809
-3.32004364626,25.8012890172,-51.5974040891,-0.0029902719131
-4.29736174136,37.2272801578,-78.2208893943,0.0699559853919
-0.862358380775,4.63148530361,-6.31609097041,-0.0104813055945
-3.41039288655,26.1438519591,-54.8353430283,0.146976209003
-1.66763093154,9.28241798381,-12.8743685772,0.101534562534
-2.45493178748,13.7448850953,-11.0404883798,0.0749621826435
-2.90356055532,22.1448805583,-44.6282145528,0.0683565461188
-2.42801010613,15.5672818597,-26.2008865881,0.149114406185
-2.04347752786,17.729457444,-39.8310989341,0.00404306801973
-0.645925043799,-8.41437817283,42.474197885,0.14545963822
-3.77214924854,33.9538325482,-71.8605481372,-0.0412285233376
-2.82525234487,19.6116634953,-36.2692285446,0.0890647755544
-2.72871935743,21.2116181048,-43.1253236426,0.0152967434665
-2.70566217394,19.5747724207,-37.0115348707,0.124421923457
-2.58665587809,15.6938159902,-22.5684476748,0.10487726072
-3.05912340386,21.021335962,-39.0180438207,0.086719054454
-2.46632822142,20.7277477992,-41.6727714468,0.0255758808779
-2.75795394244,20.232481565,-36.4724639167,0.0743951081591
-4.84102026598,43.6886863827,-96.3591872371,0.0472520192059
-2.95572863656,24.4526268062,-56.3832559086,0.147722653083
-2.577096726,20.2251064139,-44.8391500685,0.139481044362
-2.22821724709,14.499669657,-22.5886683209,0.101299768573
-0.384309925721,-7.30643986244,29.52356177,0.122478488533
-3.00751669951,21.9914704952,-40.8572731913,0.12215330479
-2.81755920314,19.0733392162,-30.7394973242,0.0753062486171
-2.78678485047,20.7107837911,-39.4270807772,0.114853009581
-3.16468437921,23.0872112443,-45.1992581042,0.183358256871
-1.43917629325,7.5717196512,-3.92486120558,0.0210140060724
-2.17757324776,15.9542465468,-31.194562079,0.083052791089
-3.33879158455,29.0169284045,-59.0502323816,0.00643097808304
-4.29861510031,31.7879875993,-58.6600639722,0.13993770741
-2.93397837834,21.0706756294,-43.0963734849,0.0792933016251
-3.03548789292,23.9004929777,-50.6941911915,0.0977836880736
-2.88377192089,20.9511155062,-34.1140258282,-0.000436535064681
-3.50753966694,27.3832735349,-54.9272523117,0.0380012965124
-3.55203014384,26.5303838441,-52.8982334051,0.118991815926
-3.36049227397,24.1821648377,-48.9572387685,0.203371612975
-2.86532746501,19.2370040321,-33.6638617126,0.178674073199
-2.91088905595,23.0606110654,-46.9694738236,0.0799784531544
-3.28334332818,27.6953224267,-56.7948078352,0.0307831574808
-1.80318160142,7.68077044036,-5.55343955292,0.158751085109
-3.63213637059,28.116898781,-54.9981416955,0.144143142074
-2.27153286995,14.9155329703,-25.1900682037,-0.00480408124093
-3.13923404789,24.5150870577,-51.6671967626,0.0702569552161
