parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Z
pnew[0],0.1494,0.002,0.0724,0.0446,0.0959,0.1372,0.1892,0.3265,1290,1.0042,0.06794
pnew[1],0.1647,0.002,0.0717,0.0561,0.1119,0.1541,0.2051,0.3356,1316,1.004,0.0730702040816
pnew[2],0.1809,0.0019,0.0706,0.069,0.1292,0.1723,0.222,0.3452,1350,1.0037,0.0782004081633
pnew[3],0.198,0.0018,0.0691,0.084,0.1474,0.1909,0.2393,0.3548,1395,1.0035,0.0833306122449
pnew[4],0.2159,0.0018,0.067,0.1014,0.1673,0.2105,0.2571,0.3641,1455,1.0032,0.0884608163265
pnew[5],0.2345,0.0016,0.0646,0.1213,0.188,0.2301,0.2747,0.3749,1536,1.0029,0.0935910204082
pnew[6],0.2536,0.0015,0.0619,0.1421,0.2095,0.2504,0.2929,0.3844,1647,1.0025,0.0987212244898
pnew[7],0.2731,0.0014,0.0589,0.1651,0.2314,0.2709,0.3112,0.3961,1801,1.0021,0.103851428571
pnew[8],0.2927,0.0012,0.0558,0.1886,0.2538,0.2913,0.3294,0.4081,2154,1.0017,0.108981632653
pnew[9],0.3123,0.0011,0.0527,0.213,0.2757,0.3111,0.3474,0.4199,2505,1.0013,0.114111836735
pnew[10],0.3316,0.0009,0.0499,0.2371,0.297,0.3307,0.3653,0.4325,3185,1.0009,0.119242040816
pnew[11],0.3506,0.0007,0.0474,0.2606,0.3179,0.3498,0.3827,0.4457,4653,1.0005,0.124372244898
pnew[12],0.369,0.0006,0.0453,0.2829,0.3378,0.3683,0.3997,0.46,5981,1.0002,0.12950244898
pnew[13],0.3867,0.0005,0.0438,0.3039,0.3562,0.3861,0.4161,0.4756,6551,1.0,0.134632653061
pnew[14],0.4036,0.0005,0.0428,0.322,0.3739,0.4028,0.4327,0.4898,6815,1.0,0.139762857143
pnew[15],0.4195,0.0005,0.0424,0.3389,0.3904,0.4188,0.4479,0.5042,6739,1.0001,0.144893061224
pnew[16],0.4344,0.0006,0.0424,0.3533,0.4057,0.4334,0.4629,0.5182,5775,1.0003,0.150023265306
pnew[17],0.4481,0.0006,0.0428,0.3662,0.4192,0.4474,0.477,0.5334,4864,1.0006,0.155153469388
pnew[18],0.4607,0.0007,0.0434,0.3775,0.4318,0.4601,0.4902,0.5467,4129,1.0009,0.160283673469
pnew[19],0.472,0.0008,0.0441,0.387,0.4425,0.4717,0.5021,0.56,3107,1.0012,0.165413877551
pnew[20],0.4822,0.0009,0.0448,0.3951,0.4517,0.4815,0.5125,0.5712,2757,1.0014,0.170544081633
pnew[21],0.491,0.0009,0.0455,0.4028,0.4604,0.4903,0.5215,0.581,2538,1.0016,0.175674285714
pnew[22],0.4987,0.0009,0.0461,0.4092,0.4677,0.4979,0.5294,0.5898,2400,1.0017,0.180804489796
