parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Z,LOG_STELLAR_MASS
prob01[1],0.292,0.007,0.141,0.066,0.178,0.279,0.398,0.568,430.0,1.005,0.06794,9.0
prob01[2],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,430.0,1.005,0.07760758620689655,9.0
prob01[3],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,430.0,1.005,0.0872751724137931,9.0
prob01[4],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,430.0,1.005,0.09694275862068966,9.0
prob01[5],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,430.0,1.005,0.1066103448275862,9.0
prob01[6],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,430.0,1.005,0.11627793103448275,9.0
prob01[7],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,430.0,1.005,0.1259455172413793,9.0
prob01[8],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,431.0,1.005,0.13561310344827587,9.0
prob01[9],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,431.0,1.005,0.1452806896551724,9.0
prob01[10],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,431.0,1.005,0.15494827586206894,9.0
prob01[11],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,431.0,1.005,0.1646158620689655,9.0
prob01[12],0.291,0.007,0.141,0.066,0.178,0.278,0.397,0.568,431.0,1.005,0.17428344827586206,9.0
prob01[13],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,431.0,1.005,0.18395103448275862,9.0
prob01[14],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,431.0,1.005,0.19361862068965516,9.0
prob01[15],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,431.0,1.005,0.20328620689655172,9.0
prob01[16],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.569,432.0,1.005,0.21295379310344825,9.0
prob01[17],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,432.0,1.005,0.2226213793103448,9.0
prob01[18],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,432.0,1.005,0.23228896551724137,9.0
prob01[19],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,432.0,1.005,0.2419565517241379,9.0
prob01[20],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,433.0,1.005,0.25162413793103444,9.0
prob01[21],0.291,0.007,0.141,0.066,0.177,0.277,0.397,0.568,433.0,1.005,0.261291724137931,9.0
prob01[22],0.291,0.007,0.141,0.066,0.177,0.277,0.397,0.568,433.0,1.005,0.27095931034482756,9.0
prob01[23],0.291,0.007,0.141,0.066,0.177,0.277,0.397,0.568,433.0,1.005,0.2806268965517241,9.0
prob01[24],0.29,0.007,0.141,0.065,0.177,0.277,0.397,0.567,434.0,1.005,0.2902944827586207,9.0
prob01[25],0.29,0.007,0.141,0.065,0.176,0.277,0.397,0.567,434.0,1.005,0.29996206896551725,9.0
prob01[26],0.29,0.007,0.141,0.065,0.176,0.277,0.397,0.567,434.0,1.005,0.3096296551724138,9.0
prob01[27],0.29,0.007,0.141,0.065,0.176,0.277,0.397,0.566,435.0,1.005,0.3192972413793103,9.0
prob01[28],0.29,0.007,0.141,0.065,0.176,0.277,0.397,0.566,435.0,1.005,0.3289648275862069,9.0
prob01[29],0.29,0.007,0.141,0.065,0.176,0.277,0.397,0.566,436.0,1.005,0.33863241379310344,9.0
prob01[30],0.29,0.007,0.141,0.065,0.176,0.277,0.396,0.566,436.0,1.005,0.3483,9.0
prob01[31],0.297,0.007,0.138,0.072,0.186,0.285,0.401,0.563,430.0,1.005,0.06794,9.068965517241379
prob01[32],0.297,0.007,0.138,0.072,0.186,0.285,0.401,0.563,430.0,1.005,0.07760758620689655,9.068965517241379
prob01[33],0.297,0.007,0.138,0.072,0.186,0.285,0.401,0.563,430.0,1.005,0.0872751724137931,9.068965517241379
prob01[34],0.297,0.007,0.138,0.072,0.186,0.285,0.401,0.563,430.0,1.005,0.09694275862068966,9.068965517241379
prob01[35],0.297,0.007,0.138,0.072,0.186,0.284,0.4,0.563,430.0,1.005,0.1066103448275862,9.068965517241379
prob01[36],0.296,0.007,0.138,0.072,0.186,0.285,0.4,0.563,430.0,1.005,0.11627793103448275,9.068965517241379
prob01[37],0.296,0.007,0.138,0.072,0.186,0.285,0.4,0.563,430.0,1.005,0.1259455172413793,9.068965517241379
prob01[38],0.296,0.007,0.138,0.072,0.186,0.285,0.4,0.563,430.0,1.005,0.13561310344827587,9.068965517241379
prob01[39],0.296,0.007,0.138,0.073,0.186,0.285,0.4,0.563,430.0,1.005,0.1452806896551724,9.068965517241379
prob01[40],0.296,0.007,0.137,0.072,0.186,0.285,0.4,0.563,430.0,1.005,0.15494827586206894,9.068965517241379
prob01[41],0.296,0.007,0.137,0.072,0.186,0.285,0.4,0.563,431.0,1.005,0.1646158620689655,9.068965517241379
prob01[42],0.296,0.007,0.137,0.072,0.185,0.285,0.4,0.563,431.0,1.005,0.17428344827586206,9.068965517241379
prob01[43],0.296,0.007,0.137,0.073,0.185,0.285,0.4,0.563,431.0,1.005,0.18395103448275862,9.068965517241379
prob01[44],0.296,0.007,0.137,0.073,0.185,0.284,0.399,0.563,431.0,1.005,0.19361862068965516,9.068965517241379
prob01[45],0.296,0.007,0.137,0.073,0.185,0.284,0.399,0.563,431.0,1.005,0.20328620689655172,9.068965517241379
prob01[46],0.296,0.007,0.137,0.073,0.185,0.284,0.399,0.563,432.0,1.005,0.21295379310344825,9.068965517241379
prob01[47],0.295,0.007,0.137,0.073,0.185,0.284,0.399,0.563,432.0,1.005,0.2226213793103448,9.068965517241379
prob01[48],0.295,0.007,0.137,0.072,0.185,0.284,0.399,0.563,432.0,1.005,0.23228896551724137,9.068965517241379
prob01[49],0.295,0.007,0.137,0.072,0.185,0.284,0.399,0.563,432.0,1.005,0.2419565517241379,9.068965517241379
prob01[50],0.295,0.007,0.137,0.072,0.185,0.284,0.399,0.563,433.0,1.005,0.25162413793103444,9.068965517241379
prob01[51],0.295,0.007,0.137,0.072,0.185,0.283,0.399,0.563,433.0,1.005,0.261291724137931,9.068965517241379
prob01[52],0.295,0.007,0.137,0.072,0.185,0.283,0.399,0.562,433.0,1.005,0.27095931034482756,9.068965517241379
prob01[53],0.295,0.007,0.137,0.072,0.185,0.283,0.399,0.562,433.0,1.005,0.2806268965517241,9.068965517241379
prob01[54],0.295,0.007,0.137,0.072,0.184,0.283,0.399,0.562,434.0,1.005,0.2902944827586207,9.068965517241379
prob01[55],0.295,0.007,0.137,0.071,0.184,0.283,0.399,0.562,434.0,1.005,0.29996206896551725,9.068965517241379
