parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Z
pnew[0],0.0112,0.0004,0.0141,0.0003,0.0028,0.0064,0.0141,0.0519,1196,1.0018,0.06951
pnew[1],0.0146,0.0005,0.0166,0.0006,0.0042,0.0092,0.0189,0.0613,1240,1.0019,0.0751995918367
pnew[2],0.019,0.0005,0.0194,0.0011,0.0063,0.0128,0.0249,0.0734,1288,1.0019,0.0808891836735
pnew[3],0.0247,0.0006,0.0226,0.0018,0.0093,0.0179,0.0329,0.0863,1341,1.0019,0.0865787755102
pnew[4],0.0319,0.0007,0.0262,0.0031,0.0136,0.0245,0.0427,0.1016,1400,1.0019,0.0922683673469
pnew[5],0.041,0.0008,0.0302,0.0051,0.0195,0.0334,0.0544,0.1198,1469,1.0018,0.0979579591837
pnew[6],0.0523,0.0009,0.0345,0.0082,0.0274,0.0445,0.0693,0.1392,1550,1.0017,0.10364755102
pnew[7],0.0662,0.001,0.0389,0.0132,0.0379,0.0587,0.0864,0.1616,1652,1.0014,0.109337142857
pnew[8],0.0831,0.001,0.0435,0.0202,0.0515,0.0762,0.1071,0.186,1783,1.0012,0.115026734694
pnew[9],0.1033,0.0011,0.048,0.03,0.0684,0.0965,0.1305,0.2141,1961,1.0009,0.120716326531
pnew[10],0.1269,0.0011,0.0522,0.0432,0.0892,0.1211,0.158,0.2449,2211,1.0006,0.126405918367
pnew[11],0.1541,0.0011,0.0562,0.0605,0.1139,0.1491,0.1886,0.2803,2589,1.0002,0.132095510204
pnew[12],0.1847,0.0011,0.0597,0.0814,0.1421,0.1806,0.2222,0.3164,3145,1.0,0.137785102041
pnew[13],0.2183,0.001,0.0627,0.1077,0.174,0.2144,0.2584,0.3511,3993,0.9998,0.143474693878
pnew[14],0.2544,0.0009,0.0653,0.1366,0.2082,0.2506,0.2967,0.3918,5431,0.9997,0.149164285714
pnew[15],0.2922,0.0008,0.0677,0.1689,0.2444,0.2885,0.3368,0.4326,6651,0.9998,0.154853877551
pnew[16],0.3308,0.0008,0.0699,0.2022,0.2815,0.327,0.3775,0.4748,6974,1.0001,0.160543469388
pnew[17],0.3693,0.0009,0.0721,0.2359,0.319,0.3655,0.4176,0.5165,6789,1.0006,0.166233061224
pnew[18],0.4068,0.001,0.0742,0.2697,0.3552,0.4034,0.4567,0.5586,5545,1.001,0.171922653061
pnew[19],0.4425,0.0011,0.0761,0.3004,0.3901,0.4397,0.4941,0.5981,4580,1.0015,0.177612244898
pnew[20],0.4758,0.0013,0.0778,0.3283,0.4225,0.4734,0.5283,0.6311,3634,1.002,0.183301836735
pnew[21],0.5064,0.0014,0.0792,0.3525,0.4529,0.5047,0.5601,0.6621,3113,1.0023,0.188991428571
pnew[22],0.534,0.0015,0.0803,0.3755,0.4802,0.5331,0.5882,0.6897,2738,1.0026,0.194681020408
pnew[23],0.5584,0.0016,0.0809,0.398,0.5048,0.5582,0.6136,0.7136,2509,1.0027,0.200370612245
pnew[24],0.5796,0.0017,0.0813,0.4163,0.5259,0.5798,0.635,0.7332,2370,1.0028,0.206060204082
pnew[25],0.5978,0.0017,0.0814,0.4331,0.5438,0.5984,0.6539,0.7516,2301,1.0027,0.211749795918
pnew[26],0.6128,0.0017,0.0813,0.4483,0.5586,0.6139,0.6694,0.7653,2292,1.0026,0.217439387755
pnew[27],0.625,0.0017,0.0811,0.46,0.571,0.6267,0.6822,0.776,2339,1.0024,0.223128979592
pnew[28],0.6342,0.0016,0.081,0.4681,0.5808,0.6361,0.6915,0.7829,2449,1.0022,0.228818571429
pnew[29],0.6407,0.0016,0.081,0.4729,0.5873,0.6423,0.6976,0.7894,2634,1.0019,0.234508163265
pnew[30],0.6444,0.0015,0.0813,0.4748,0.5909,0.6467,0.7018,0.7928,2921,1.0015,0.240197755102
pnew[31],0.6454,0.0014,0.0821,0.4746,0.5919,0.6482,0.7037,0.7955,3349,1.0011,0.245887346939
pnew[32],0.6437,0.0013,0.0834,0.4727,0.5888,0.6471,0.7028,0.7955,3978,1.0008,0.251576938776
pnew[33],0.6393,0.0011,0.0855,0.4638,0.5826,0.6435,0.7005,0.7943,5654,1.0004,0.257266530612
pnew[34],0.6321,0.0011,0.0886,0.4497,0.5736,0.6365,0.6956,0.7916,6551,1.0001,0.262956122449
pnew[35],0.6221,0.0011,0.0926,0.4326,0.5607,0.6272,0.6884,0.7895,7285,1.0,0.268645714286
pnew[36],0.6092,0.0011,0.0978,0.4074,0.5441,0.6148,0.6788,0.785,7581,0.9999,0.274335306122
pnew[37],0.5933,0.0012,0.1042,0.3767,0.5246,0.5991,0.6679,0.7812,7515,0.9999,0.280024897959
pnew[38],0.5746,0.0013,0.1117,0.34,0.5012,0.5818,0.6552,0.7759,7211,1.0001,0.285714489796
pnew[39],0.553,0.0015,0.12,0.3028,0.4733,0.561,0.64,0.7677,6560,1.0003,0.291404081633
pnew[40],0.5288,0.0017,0.1289,0.2625,0.4422,0.5365,0.6218,0.7619,5838,1.0006,0.297093673469
pnew[41],0.5021,0.002,0.1381,0.2176,0.4063,0.509,0.6017,0.7553,4584,1.001,0.302783265306
pnew[42],0.4733,0.0024,0.1471,0.1786,0.3686,0.4789,0.5786,0.7486,3875,1.0013,0.308472857143
pnew[43],0.4429,0.0027,0.1556,0.1416,0.3303,0.4454,0.554,0.7426,3382,1.0016,0.31416244898
pnew[44],0.4113,0.003,0.163,0.1099,0.2907,0.4105,0.5277,0.7352,3018,1.0019,0.319852040816
