CATAID,Z,<logAge>,<[M/H]>,MASS2LIGHT_R
375789,0.07871,9.81029014106421,-0.865679856207301,1.549388439950426
549148,0.20885,9.809088473897079,-0.22268858450573534,1.933631815996179
376042,0.26761,9.72536682788549,-0.20016993933033927,1.754677787796261
423115,0.21647,9.880362683484146,-0.19511412140000448,3.061980008290304
301850,0.21834,9.83645389203406,-0.3236692216541122,2.2687334670885533
216892,0.17037,9.783332188738733,-1.0316735331582016,1.1302235808456453
209881,0.25633,9.890043477268941,-0.19451032712509725,3.1448820695783506
196101,0.10805,9.800943141717427,-0.5763217523551032,1.6071482132846153
598961,0.19304,9.814858623985002,-0.8207991196429507,1.5278245377179558
574429,0.2294,9.845353043476623,-0.266692439941945,2.660340190044738
3882902,0.17225,9.953258225595734,-0.1934410119799924,3.695424752421475
3910157,0.25755,9.827796197011589,-0.22855145838036975,2.116029206488628
3604402,0.22979,9.907106202194349,-0.19479774893735172,3.2878260849228753
3889591,0.17005,9.768397528020303,-1.0897945696845581,1.2137992146242427
3613123,0.2004,9.860190196916486,-0.19527666317300224,2.8959297202834366
3888169,0.16294,9.842213946050089,-0.4662785146356214,2.0756281233244342
373305,0.13819,9.847442120063779,-1.0522892528288896,1.8252195290473463
39151,0.26671,9.756687294901985,-0.25786208392664445,1.8655006388853201
39732,0.24407,9.822125386352397,-0.35813284968686215,2.3251728999725816
70294,0.25398,9.851505673458616,-0.3764817853254161,2.549203954703715
55601,0.18158,9.827687580484483,-0.3273950247739959,2.0176108011738814
611468,0.26784,9.803172718745662,-0.2390327636409259,1.9112384456427107
138989,0.2502,9.80914104721852,-0.20964535089939085,1.8831719987543223
562060,0.25758,9.887293157860814,-0.19429569291438845,3.124178172852825
48736,0.19859,9.814362402636753,-0.25048322121367805,1.9900606252576167
321414,0.17653,9.589317202421674,-1.098624290018161,0.6692758109417002
65427,0.255,9.825235035935233,-0.2602206000421619,2.0443034832498586
492701,0.19399,9.831079788773266,-0.30547929520447337,2.17407290172466
