CATAID,OBJID_SDSSDR7
598961,588848900427481399
611468,588848900451729571
301850,587726032229040530
321414,587726032267378887
373305,587727942956024011
375789,587727943488635247
376042,587727943489094234
423115,587728879794585926
3604402,587729150911971799
3613123,587729150914134215
492701,587729778519507274
3882902,588010930832998667
3888169,588010930834374925
3889591,588010930834768089
3910157,588010931371376935
39151,587722982274957434
39732,587722982276071649
48736,587722982293766374
55601,587722982815039630
65427,587722982832669131
70294,587722983350403258
549148,588848899354132992
562060,588848899378446610
138989,587724650333012209
196101,587725073914003890
209881,587725074990432619
216892,587725075529400544
574429,588848899893297496
